battery,checkpoint_cycle,last_observed_capacity_ah,margin_to_1_4_ah,slope_ah_per_cycle,projected_threshold_cycle,observed_threshold_cycle,projection_error_cycles,forecast_revision_cycles,projection_within_observed_horizon,false_early_warning
B0005,40,1.773037755079,0.373037755079,-0.001063041308,413.782,125,288.782,,false,false
B0005,60,1.69457986018,0.29457986018,-0.002110464292,216.817,125,91.817,196.965,false,false
B0005,80,1.564901995094,0.164901995094,-0.003358318582,145.025,125,20.025,71.792,true,false
B0006,40,1.760471244817,0.360471244817,-0.005720917768,109.346,109,0.346,,true,false
B0006,60,1.629199941617,0.229199941617,-0.006143063284,102.975,109,-6.025,6.371,true,false
B0006,80,1.488759360873,0.088759360873,-0.006972809984,93.434,109,-15.566,9.541,true,false
B0007,40,1.81138156015,0.41138156015,-0.001254026343,388.045,,,,false,false
B0007,60,1.728564227772,0.328564227772,-0.002303976613,218.983,,,169.062,false,false
B0007,80,1.621213282987,0.221213282987,-0.003343147723,158.219,,,60.765,true,true
B0018,40,1.676051615442,0.276051615442,-0.00587012781,78.931,97,-18.069,,true,false
B0018,60,1.58660118207,0.18660118207,-0.004059755618,106.715,97,9.715,27.784,true,false
B0018,80,1.447866098889,0.047866098889,-0.004611617248,96.764,97,-0.236,9.95,true,false
